Model,AUC-ROC,Weighted F1,Demographic Parity Difference,Equalized Odds Difference,Disparate Impact Ratio,Accuracy,Comment
Logistic Regression,0.8288095238095238,0.7439907993099482,0.2311827956989247,0.334841628959276,0.653225806451613,0.735,Reference model.
TabNet Baseline,0.7947619047619047,0.7485714285714287,0.14492753623188404,0.1990950226244344,0.7752808988764045,0.74,Reference model.
TabNet + Fairness-Aware Reweighting,0.7833333333333333,0.7662215239591517,0.09490416082281439,0.02488687782805432,0.8560794044665012,0.76,Fairness-aware sample reweighting by target and sex.
